 1007A  19Liisankatu                              Elisabetsgatan                          Linja 1007A          
 1007A  20Snellmaninkatu                          Snellmansgatan                          Linja 1007A          
 1007B   1Reitti:                                 Rutt:                                   Linja 1007B          
 1007B   2Snellmaninkatu                          Snellmansgatan                          Linja 1007B          
 1007B   3Liisankatu                              Elisabetsgatan                          Linja 1007B          
 1007B   4Siltasaarenkatu                         Broholmsgatan                           Linja 1007B          
 1007B   5Hakaniementori                          Hagnäs torg                             Linja 1007B          
 1007B   6Hämeentie                               Tavastvägen                             Linja 1007B          
 1007B   7Mäkelänkatu                             Backasgatan                             Linja 1007B          
 1007B   8Radanrakentajantie                      Banbyggarvägen                          Linja 1007B          
 1007B   9Ratamestarinkatu                        Banmästargatan                          Linja 1007B          
 1007B  10Ratapihantie                            Bangårdsvägen                           Linja 1007B          
 1007B  11Pasilan silta                           Bölebro                                 Linja 1007B          
 1007B  12Pasilankatu                             Bölegatan                               Linja 1007B          
 1007B  13Kyllikinportti                          Kyllikkiporten                          Linja 1007B          
 1007B  14Pasilanraitio                           Böletået                                Linja 1007B          
 1007B  15Veturitie                               Lokvägen                                Linja 1007B          
 1007B  16Nordenskiöldinkatu                      Nordenskiöldsgatan                      Linja 1007B          
 1007B  17Mannerheimintie                         Mannerheimvägen                         Linja 1007B          
 1007B  18Aleksanterinkatu                        Alexandersgatan                         Linja 1007B          
 1007B  19Snellmaninkatu                          Snellmansgatan                          Linja 1007B          
 1008    1Reitti:                                 Rutt:                                   Linja 1008           
 1008    2Länsisatamankatu                        Västrahamnsgatan                        Linja 1008           
 1008    3Itämerenkatu                            Östersjögatan                           Linja 1008           
 1008    4Mechelininkatu                          Mechelingatan                           Linja 1008           
 1008    5Caloniuksenkatu                         Caloniusgatan                           Linja 1008           
 1008    6Runeberginkatu                          Runebergsgatan                          Linja 1008           
 1008    7Helsinginkatu                           Helsingegatan                           Linja 1008           
 1008    8Hämeentie                               Tavastvägen                             Linja 1008           
 1008    9Arabiankatu                             Arabiagatan                             Linja 1008           
 1008   10Arabianranta                            Arabiastranden                          Linja 1008           
 1009    1Reitti:                                 Rutt:                                   Linja 1009           
 1009    2Tyynenmerenkatu                         Stillahavsgatan                         Linja 1009           
 1009    3Jätkäsaarenlaituri                      Busholmskajen                           Linja 1009           
 1009    4Ruoholahdenranta                        Gräsvikskajen                           Linja 1009           
 1009    5Ruoholahdenkatu                         Gräsviksgatan                           Linja 1009           
 1009    6Malminrinne                             Malmbrinken                             Linja 1009           
 1009    7Urho Kekkosen katu                      Urho Kekkonens gata                     Linja 1009           
 1009    8Simonkatu                               Simonsgatan                             Linja 1009           
 1009    9Kaivokatu                               Brunnsgatan                             Linja 1009           
 1009   10Kaisaniemenkatu                         Kajsaniemigatan                         Linja 1009           
 1009   11Siltasaarenkatu                         Broholmsgatan                           Linja 1009           
 1009   12Porthaninkatu                           Porthansgatan                           Linja 1009           
 1009   13Viides linja                            Femte linjen                            Linja 1009           
 1009   14Kaarlenkatu                             Karlsgatan                              Linja 1009           
 1009   15Helsinginkatu                           Helsingegatan                           Linja 1009           
 1009   16Fleminginkatu                           Flemingsgatan                           Linja 1009           
 1009   17Aleksis Kiven katu                      Aleksis Kivis gata                      Linja 1009           
 1009   18Traverssikuja                           Traversgränden                          Linja 1009           
 1009   19Teollisuuskatu                          Industrigatan                           Linja 1009           
 1009   20Jämsänkatu                              Jämsägatan                              Linja 1009           
 1009   21Kumpulantie                             Gumtäktsvägen                           Linja 1009           
 1009   22Ratamestarinkatu                        Banmästargatan                          Linja 1009           
 1009   23Asemapäällikönkatu                      Stinsgatan                              Linja 1009           
 1009   24Ratapihantie                            Bangårdsvägen                           Linja 1009           
 1010    1Reitti:                                 Rutt:                                   Linja 1010           
 1010    2Tarkk´ampujankatu                       Skarpskyttegatan                        Linja 1010           
 1010    3Kasarmikatu                             Kaserngatan                             Linja 1010           
 1010    4Punanotkonkatu                          Röddäldsgatan                           Linja 1010           
 1010    5Yrjönkatu                               Georgsgatan                             Linja 1010           
 1010    6Erottajankatu                           Skillnadsgatan                          Linja 1010           
 1010    7Mannerheimintie                         Mannerheimvägen                         Linja 1010           
 1010    8Korppaanmäentie                         Korpasbackavägen                        Linja 1010           
 1011    1Reitti:                                 Rutt:                                   Lnja 1011            
 1011    2Rautatientori                           Järnvägstorget                          Lnja 1011            
 1011    3Vilhonkatu                              Vilhelmsgatan                           Lnja 1011            
 1011    4Kaisaniemenkatu                         Kajsaniemigatan                         Lnja 1011            
 1011    5Unioninkatu                             Unionsgatan                             Lnja 1011            
 1011    6Siltasaarenkatu                         Broholmsgatan                           Lnja 1011            
 1011    7Hakaniemenranta                         Hagnäskajen                             Lnja 1011            
 1011    8Haapaniemenkatu                         Aspnäsgatan                             Lnja 1011            
 1011    9Sörnäisten rantatie                     Sörnäs strandväg                        Lnja 1011            
 1011   10Kulosaaren silta                        Brändö bro                              Lnja 1011            
 1011   11Kulosaarentie                           Brändövägen                             Lnja 1011            
 1011   12Marsalkantie                            Marskalkens väg                         Lnja 1011            
 1011   13Mustikkamaantie                         Blåbärslandsväg                         Lnja 1011            
 1011   14Mustikkamaanpolku                       Blåbärslandsstigen                      Lnja 1011            
 1014    1Reitti:                                 Rutt:                                   Linja 1014           
 1014    2Hernesaarenranta                        Ärtholmsstranden                        Linja 1014           
 1014    3Hernematalankatu                        Ärtgrundsgatan                          Linja 1014           
 1014    4Hernesaarenranta                        Ärtholmsstranden                        Linja 1014           
 1014    5Hylkeenpyytäjänkatu                     Säljägargatan                           Linja 1014           
 1014    6Munkkisaarenkatu                        Munkholmsgatan                          Linja 1014           
 1014    7Tehtaankatu                             Fabriksgatan                            Linja 1014           
 1014    8Laivurinkatu                            Skepparegatan                           Linja 1014           
 1014    9Fredrikinkatu                           Fredriksgatan                           Linja 1014           
 1014   10Arkadiankatu                            Arkadiagatan                            Linja 1014           
 1014   11Runeberginkatu                          Runebergsgatan                          Linja 1014           
 1014   12Topeliuksenkatu                         Topeliusgatan                           Linja 1014           
 1014   13Haartmaninkatu                          Haartmansgatan                          Linja 1014           
 1014   14Tukholmankatu                           Stockholmsgatan                         Linja 1014           
 1014   15Paciuksenkatu                           Paciusgatan                             Linja 1014           
 1014   16Huopalahdentie                          Hoplaksvägen                            Linja 1014           
 1014   17Vanha viertotie                         Gamla chaussen                          Linja 1014           
 1014   18Pitäjänmäentie                          Sockenbackavägen                        Linja 1014           
 1014   19Pajamäentie                             Smedjebackavägen                        Linja 1014           
 1014X   1Reitti 14X:                             Rutt 14X:                               Linja 1014X          
 1014X   2Hernesaarenranta                        Ärtholmsstranden                        Linja 1014X          
 1014X   3Hernematalankatu                        Ärtgrundsgatan                          Linja 1014X          
 1014X   4Hernesaarenranta                        Ärtholmsstranden                        Linja 1014X          
 1014X   5Hylkeenpyytäjänkatu                     Säljägargatan                           Linja 1014X          
 1014X   6Munkkisaarenkatu                        Munkholmsgatan                          Linja 1014X          
 1014X   7Tehtaankatu                             Fabriksgatan                            Linja 1014X          
 1014X   8Laivurinkatu                            Skepparegatan                           Linja 1014X          
 1014X   9Fredrikinkatu                           Fredriksgatan                           Linja 1014X          
 1015    1Reitti:                                 Rutt:                                   Linja 1015           
 1015    2Santakatu                               Sandgatan                               Linja 1015           
 1015    3Selkämerenkatu                          Bottenhavsgatan                         Linja 1015           
 1015    4Itämerenkatu                            Östersjögatan                           Linja 1015           
 1015    5Länsisatamankatu                        Västrahamnsgatan                        Linja 1015           
 1015    6Porkkalankatu                           Porkalagatan                            Linja 1015           
 1015    7Tallberginkatu                          Tallbergsgatan                          Linja 1015           
 1015    8Salmisaarenranta                        Sundholmsstranden                       Linja 1015           
 1016    1Reitti:                                 Rutt:                                   Linja 1016           
 1016    2Kaivokatu                               Brunnsgatan                             Linja 1016           
 1016    3Kaisaniemenkatu                         Kajsaniemigatan                         Linja 1016           
 1016    4Liisankatu                              Elisabetsgatan                          Linja 1016           
