 290   219950903200112311Kolmperä-Turuntie-Helsinki              Kolmpers-Åboleden-Helsingfors            
 315   119990816200112311Helsinki-Järvenperä                     Helsingfors-Träskända                    
 315   219990816200112311Järvenperä-Helsinki                     Träskända-Helsingfors                    
 321   119990101200112311Helsinki-Koskelo                        Helsingfors-Skrakaby                     
 321   219990101200112311Koskelo-Helsinki                        Skrakaby-Helsingfors                     
 324   119921019200112311Helsinki-Kalajärvi                      Helsingfors-Kalajärvi                    
 324   219921019200112311Kalajärvi-Helsinki                      Kalajärvi-Helsingfors                    
 339   119930113200112311Helsinki-Lahnus-Klaukkala               Helsingfors-Lahnus-Klaukkala             
 339   219930113200112311Lahnus-Helsinki                         Lahnus-Helsingfors                       
 345   119920831200112311Helsinki-Rinnekoti                      Helsingfors-Rinnehemmet                  
 345   219920831200112311Rinnekoti-Helsinki                      Rinnehemmet-Helsingfors                  
 346   119950903200112311Helsinki-Vihdintie-Kalajärvi            Helsingfors-Vichtisvägen-Kalajärvi       
 346   219950903200112311Kalajärvi-Vihdintie-Helsinki            Kalajärvi-Vichtisvägen-Helsingfors       
 360   119990101200112311Helsinki-Petikko                        Helsingfors-Petikko                      
 360   219990101200112311Petikko-Helsinki                        Petikko-Helsingfors                      
 361   119990101200112311Helsinki-Petikko                        Helsingfors-Petikko                      
 361   219990101200112311Petikko-Helsinki                        Petikko-Helsingfors                      
 362   119990101200112311Helsinki-Petikko                        Helsingfors-Petikko                      
 362   219990101200112311Petikko-Helsinki                        Petikko-Helsingfors                      
 363   119990101200112311Helsinki-Hämeenkylä/Askisto             Helsingfors-Tavastby/Askis               
 363   219990101200112311Hämeenkylä/Askisto-Helsinki             Tavastby/Askis-Helsingfors               
 364   120000814200112311Helsinki-Askisto                        Helsingfors-Askis                        
 364   220000814200112311Helsinki-Askisto                        Helsingfors-Askis                        
 400N  120000814200112311Myyrmäki-Martinlaakso-Ylästö            Myrbacka-Mårtensdal-Övitsböle            
 400N  220000814200112310Myyrmäki-Martinlaakso-Ylästö            Myrbacka-Mårtensdal-Övitsböle            
 410N  120010813200112311Myyrmäki-Hämeenkylä-Leppävaara          Myrbacka-Tavastberga-Alberga             
 410N  220000813200112310Myyrmäki-Hämeenkylä-Leppävaara          Myrbacka-Tavastberga-Alberga             
 415   120030817200112311Helsinki-Lentoasema                     Helsingfors-Flygstationen                
 415   220030817200112311Lentoasema-Helsinki                     Flygstationen-Helsingfors                
 451   120030817200112311Helsinki-Lentoasema                     Helsingfors-Flygstationen                
 451   220030817201501011Lentoasema-Helsinki                     Flygstationen-Helsingfors                
 452   119990101200112311Helsinki-Myyrmäki                       Helsingfors-Myrbacka                     
 452   219990101200112311Myyrmäki-Helsinki                       Myrbacka-Helsingfors                     
 453   119990101200112311Helsinki-Martinlaakso                   Helsingfors-Mårtensdal                   
 453   219990101200112311Martinlaakso-Helsinki                   Mårtensdal-Helsingfors                   
 472   119990101200112311Helsinki-Kannisto/Vestra/Luhtaanmäki    Helsingfors-Kannisto/Västra/Luhtabacka   
 472   219990101200112311Kannisto/Vestra/Luhtaanmäki-Helsinki    Kannisto/Västra/Luhtabacka-Helsingfors   
 474   120040815201012311Helsinki-Reuna                          Helsingfors-Reuna                        
 474   220040815201012311Reuna-Helsinki                          Reuna-Helsingfors                        
 484   119990101200112311Helsinki-Reuna                          Helsingfors-Reuna                        
 484   219990101200112311Reuna-Helsinki                          Reuna-Helsingfors                        
 485   120000101200112311U-linjat Hämeenlinnanväylä              U-linjer Tavastehusleden                 
 485   220000101200112311U-linjat Hämeenlinnanväylä              U-linjer Tavastehusleden                 
 499   120130601201806011M-junaa korvaava bussi                                                           
 499   220130601201806011M-junaa korvaava bussi                                                           
 500T  119990101200112311Vattuniemi-Hanasaari-Vattuniemi         Hallonnäs-Hanaholmen-Hallonnäs           
 502   119990101200112311Merihaka-Otaniemi                       Havshagen-Otnäs                          
 502   219990101200112311Otaniemi-Merihaka                       Otnäs-Havshagen                          
 503   119990101200112311Vanhakaupunki-Matinkylä                 Gammelstaden-Mattby                      
 503   219990101200112311Matinkylä-Vanhakaupunki                 Mattby-Gammelstaden                      
 504   119990101200112311Verkkosaari-Kivenlahti                  Nätholmen-Stensvik                       
 504   219990101200112311Kivenlahti-Verkkosaari                  Stensvik-Nätholmen                       
 505   119990101200112311Verkkosaari-Puolarmetsä                 Nätholmen-Bolarskog                      
 505   219990101200112311Puolarmetsä-Verkkosaari                 Bolarskog-Nätholmen                      
 506   120060813201001011Viikki - Pohjois-Tapiola                Vik- Norra Hagalund                      
 506   220060813201001010Pohjois-Tapiola - Viikki                Norra Hagalund - Vik                     
 509   119990101200112311Verkkosaari-Järvenperä                  Nätholmen-Träskända                      
 509   219990101200112311Järvenperä-Verkkosaari                  Träskända-Nätholmen                      
 510   119921001200112311Vantaankoski-Tapiola-Westendinasema     Vandaforsen-Hagalund-Westendstationen    
 510   219921001200112311Westendinasema-Tapiola-Vantaankoski     Westendstationen-Hagalund-Vandaforsen    
 512   119990101200112311Malmi-Westendinasema                    Malm-Westenstationen                     
 512   219990101200112311Westendinasema-Tapiola                  Westenstationen-Malm                     
 514   119990101200112311Lentoasema-Tapiola                      Flygstationen-Westendstationen           
 514   219990101200112311Westendinasema-Lentoasema               Westendstationen-Flygstationen           
 516   119990101200112311Hakaniemi-Martinlaakso                  Hagnäs-Mårtensdal                        
 516   219990101200112311Martinlaakso-Hakaniemi                  Mårtensdal-Hagnäs                        
 518   119990101200112311Sörnäinen-Nissas                        Sörnäs-Nissas                            
 518   219990101200112311Nissas-Sörnäinen                        Nissas-Sörnäs                            
 519   119990101200112311Itäkeskus/Vuosaari-Lentoasema           Östra centrum/Nordsjö-Flygstationen      
 519   219990101200112311Lentoasema-Itäkeskus/Vuosaari           Flygstationen-Östra centrum/Nordsjö      
 520   119990101200112311Itäkeskus-Lentoaseman tekninen alue     Östra centrum-Flygstationens tekn. områd 
 520   219990101200112311Lentoaseman tekninen alue-Itäkeskus     Flygstationens tekn. område-Östra centru 
 522   119990101200112311Itäkeskus-Malmi-Leppävaara              Östra centrum-Malm-Alberga               
 522   219990101200112311Leppävaara-Malmi-Itäkeskus              Alberga-Malm-Östra centrum               
 530   119921013200112311Martinlaakso-Espoon keskus              Mårtensdal-Esbo centrum                  
 530   219921013200112311Espoon keskus-Martinlaakso              Esbo centrum-Mårtensdal                  
 532   120070812201401011Martinlaakso-Kalajärvi                  Mårtensdal-Kalajärvi                     
 532   220070812201401011Martinlaakso-Kalajärvi                  Mårtensdal-Kalajärvi                     
 533   120010101202501011Vanhakartano - Matinkylä                                                         
 533   220010101202501011Matinkylä - Vanhakartano                                                         
 535   119921013200112311Lentoasema-Espoon keskus                Flygstationen-Esbo centrum               
 535   219921013200112311Espoon keskus-Lentoasema                Esbo centrum-Flygstationen               
 539   119990101200112311Munkkiniemi-Vantaankoski                Munksnäs-Vandaforsen                     
 539   219990101200112311Vantaankoski-Munkkiniemi                Vandaforsen-Munksnäs                     
 540   119990101200112311Lentoasema-Espoo                        Flyfstationen-Esbo                       
 540   219990101200112311Espoo-Lentoasema                        Esbo-Flygstationen                       
 548   120040815201012311Malminkartano-Kaivoksela                Malmgård-Gruvsta                         
 548   220040815201012311Kaivoksela-Malminkartano                Gruvsta-Malmgårde                        
 550   120030817201001010Jokeri                                  Joker                                    
 550   220030817201001010Jokeri                                  Joker                                    
 600N  120000814200112311Tikkurilan yölinja                      Nattlinje till Dickursby                 
 600N  220000814200112310Tikkurilan yölinja                      Nattlinje till Dickursby                 
 611   119961120200112311Helsinki-Simonsilta                     Helsingfors-Simonsbro                    
 611   219961120200112311Simonsilta-Helsinki                     Simonsbro-Helsingfors                    
 612   120120101203001011Rautatientori - Aviapolis - Kylmäoja                                             
 612   220120101203001011Rautatientori - Aviapolis - Kylmäoja                                             
 613   120000814200112311Helsinki-Ilola                          Helsingfors-Gladas                       
 613   220000814200112311Ilola-Helsinki                          Gladas-Helsingfors                       
 615   120000814200112311Helsinki-Lentoasema                     Helsingfors-Flygstationen                
 615   220000814200112311Lentoasema-Helsinki                     Flygstationen-Helsingfors                
 620   120030817201001010Helsinki- Lentoaseman tekn.alue                                                  
 620   220030817201001010Lentoaseman tekn.alue - Helsinki                                                 
 623   119950320200112311Helsinki-Rekolanmäki/Havukoski          Helsingfors-Räckhalsbacken/Havukoski     
 623   219950320200112311Rekolanmäki/Havukoski-Helsinki          Räckhalsbacken/Havukoski-Helsingfors     
 632   119921013200112311Helsinki-Hyrylä/Kerava                  Helsingfors-Hyrylä/Kervo                 
 632   219921013200112311Hyrylä-Helsinki                         Hyrylä-Helsingfors                       
 633   119921013200112311Helsinki-Kerava                         Helsingfors-Kervo                        
 633   219921013200112311Kerava-Helsinki                         Kervo-Helsingfors                        
 634   120010813200112311Helsinki-Kerava                         Helsingfors-Kervo                        
 634   220010813200112311Kerava - Helsinki                       Kervo - Helsingfors                      
 635   120010813200112311Helsinki-Hyrylä                         Helsingfors-Hyrylä                       
 635   220010813200112311Hyrylä - Helsinki                       Hyrylä -Helsinfors                       
 638   120130101202501010Helsinki - Kerava                                                                
 638   220130101202501010Kerava - Helsinki                                                                
 640   119990101200112311Helsinki-Hyrylä/Kerava                  HelsingforsHyrylä/Kerava                 
 640   219990101200112311Hyrylä-Helsinki                         Hyrylä-Helsingfors                       
 650   119921013200112311Helsinki-Vantaanpuisto                  Helsingfors-Vandaparken                  
 650   219921013200112311Petas-Helsinki                          Petas-Helsingfors                        
 651   120010813200112311Helsinki-Ylästö/Tuupakka                Helsingfors-Övitsböle/Stubbacka          
 651   220010813200112311Ylästö/Tuupakka-Helsinki                Övitsböle/Stubbacka-Helsingfors          
 652   119990101200112311Helsinki-Tuupakka                       Helsingfors-Stubbacka                    
 652   120120101203001011Rautatientori - Aviapolis - Kylmäoja                                             
 652   219990101200112311Tuupakka-Helsinki                       Stubbacka-Helsingfors                    
 652   220120101203001011Rautatientori - Aviapolis - Kylmäoja                                             
 665   120150701200112311Aviapolis-Lentoasema-Aviapolis          Aviapolis-Flygplatsen-Aviapolis          
 700N  119990101200112311Lahdentien yölinja                      Nattlinje längs Lahtisleden              
 710N  120000814200112311Hakunila/Korso/Kulomäki yölinja         Håkansböle/Korso/Kulomäki nattlinje      
 711   119990101200112311Helsinki-Jokiniemi                      Helsingfors-Ånäs                         
 711   219990101200112311Jokiniemi-Helsinki                      Ånäs-Helsingfors                         
