1098A;1;07-touko-10;1;1541161;1531101;;1;0;1
1098A;2;07-touko-10;1;1541162;1531114;;1;;1
1099M;1;01-tammi-12;1;1453104;1453204;;1;0;1
1099M;2;01-tammi-12;1;1453114;1453214;;1;0;1
1099V;1;01-tammi-12;1;1453102;1453202;;1;0;1
1099V;2;01-tammi-12;1;1453114;1453214;;1;0;1
1291J;1;06-marras-12;1;1453136;1453007;;1;;1
1291J;2;06-marras-12;1;1453136;1453007;;1;;1
1292J;1;18-kesŠ-12;1;1473180;1472102;;1;0;1
1292J;2;18-kesŠ-12;1;1471160;1471008;;1;0;1
1506;1;15-elo-16;1;1230103;1230004;;1;0;1
1506;2;15-elo-16;1;1250106;1240108;;1;0;1
1577;1;16-kesŠ-13;1;1381103;1381105;;1;0;1
1577;2;16-kesŠ-13;1;1401133;1401001;;1;0;0
1603;1;10-elo-15;1;1284108;1284001;;1;0;1
1603;2;10-elo-15;1;1284150;1250120;;1;0;1
1802;1;01-tammi-14;1;1432116;1432023;;1;0;1
1802;2;01-tammi-14;1;1431107;1431111;;1;0;1
1802K;1;01-tammi-14;1;1432162;1432024;;1;0;0
1802K;2;01-tammi-14;1;1431107;1431111;;2;0;1
1805;1;15-elo-16;1;1473109;1473209;;2;0;1
1805;2;15-elo-16;1;1473113;1473010;;2;0;1
1811;1;01-tammi-14;1;1471110;1471160;;1;1;1
1811;2;01-tammi-14;1;1471117;1471003;;1;0;0
1811B;1;10-elo-15;1;1471160;1471008;;1;0;1
1811B;2;10-elo-15;1;1473180;1472102;;1;0;1
1811K;1;10-elo-15;1;1473180;1472102;;1;0;1
1812;1;01-tammi-14;1;1473180;1472102;;1;0;1
1812;2;01-tammi-14;1;1471160;1471008;;1;0;1
1818;1;15-elo-16;1;1548104;1548004;;1;0;1
1818;2;15-elo-16;1;1548104;1548004;;1;0;1
2002;1;28-tammi-13;1;2211292;2211294;;1;0;0
2002;2;28-tammi-13;1;2211292;2211298;;1;0;0
2003;1;12-elo-13;1;2131248;2131001;;1;0;1
2003;2;12-elo-13;1;2311220;2311010;;1;0;1
2004;1;28-tammi-13;1;2211292;2211294;;1;0;0
2004;2;28-tammi-13;1;2211292;2211298;;1;0;0
2005;1;12-elo-13;1;2131248;2131001;;1;0;1
2005;2;12-elo-13;1;2311210;2323007;;1;0;1
